refus	0.875693855065	6	6	6	6	8.42066204847	8.93319885504	0.05
irréductible	0.117156559127	4	3	4	3	9.42066204847	9.51816135576	0.238721875541
gestes	-0.480443767689	4	2	4	2	10.0056245492	9.51816135576	0.05
considérable	-1.07672733605	6	2	6	2	10.0056245492	8.93319885504	0.131704165946
arabes	-0.480443767689	6	2	4	2	10.0056245492	9.51816135576	0.05
témoignent	0.618891980748	3	3	3	3	9.42066204847	9.93319885504	0.05
rigoureuse	-1.1787886433	12	5	12	5	8.68369645431	7.93319885504	0.0701312433488
rapproche	0.264657693227	5	4	5	4	9.00562454919	9.19623326087	0.328071905113
dissolution	-0.0710396724386	3	2	3	2	10.0056245492	9.93319885504	0.131704165946
déjà	-0.453224551142	42	27	42	27	6.25073704703	6.12584393298	0.109714041329
commercialisation	-1.0780440945	4	1	4	1	11.0056245492	9.51816135576	0.238721875541
consiste	-0.617280636014	11	6	11	6	8.42066204847	8.05872973712	0.055969788523
xviième	0.618891980748	3	3	3	3	9.42066204847	9.93319885504	0.05
présentation	-0.77753702682	15	8	15	8	8.00562454919	7.61127076015	0.0532083680184
exceptionnel	-0.0710396724386	3	2	3	2	10.0056245492	9.93319885504	0.131704165946
ginzburg	-0.0710396724386	3	2	3	2	10.0056245492	9.93319885504	0.131704165946
manières	-0.833291782023	13	6	12	6	8.42066204847	7.93319885504	0.05
travaux	-0.154491576465	74	51	70	48	5.42066204847	5.38887833881	0.15194120655
événements	0.203198801808	12	9	12	9	7.83569954775	7.93319885504	0.238721875541
entretenue	0.618891980748	3	3	3	3	9.42066204847	9.93319885504	0.05
sossie	0.618891980748	3	3	3	3	9.42066204847	9.93319885504	0.05
denier	-1.45090297881	3	0	3	0	17.649480739	9.93319885504	0.05
marxisme	-0.861880556225	7	3	7	3	9.42066204847	8.7108064337	0.0647718639657
captain	-0.0710396724386	3	2	3	2	10.0056245492	9.93319885504	0.131704165946
fenêtres	0.505236975686	8	8	2	2	10.0056245492	10.5181613558	0.05
célébrations	-0.480443767689	4	2	4	2	10.0056245492	9.51816135576	0.05
pèse	-0.80454480572	5	2	5	2	10.0056245492	9.19623326087	0.0790494055453
imposait	-0.0710396724386	3	2	3	2	10.0056245492	9.93319885504	0.131704165946
définition	0.53804770739	28	22	28	22	6.54619293056	6.7108064337	0.300404742741
devenir	0.969426491162	23	20	23	20	6.68369645431	6.9945993997	0.491370626548
tulet	-1.0780440945	4	1	4	1	11.0056245492	9.51816135576	0.238721875541
paris	-0.541275356267	22	14	20	12	7.42066204847	7.19623326087	0.0790494055453
crises	0.494044173656	7	6	7	6	8.42066204847	8.7108064337	0.458327221418
prisés	0.714756885942	4	4	4	4	9.00562454919	9.51816135576	0.05
lors	-1.45090297881	3	0	3	0	17.649480739	9.93319885504	0.05
célébration	-0.0710396724386	3	2	3	2	10.0056245492	9.93319885504	0.131704165946
nguyễn	0.117156559127	6	4	4	3	9.42066204847	9.51816135576	0.238721875541
processus	0.612287318336	41	32	41	32	6.00562454919	6.16060935114	0.290724215211
edward	-0.0710396724386	3	2	3	2	10.0056245492	9.93319885504	0.131704165946
emblématiques	-0.269943556246	5	3	5	3	9.42066204847	9.19623326087	0.0790494055453
journaux	0.714756885942	4	4	4	4	9.00562454919	9.51816135576	0.05
rebelles	0.618891980748	3	3	3	3	9.42066204847	9.93319885504	0.05
aux	1.6739992168	341	271	286	223	3.20472464927	3.35829001898	0.28932206484
démontrer	-1.0780440945	4	1	4	1	11.0056245492	9.51816135576	0.238721875541
présentant	0.264657693227	5	4	5	4	9.00562454919	9.19623326087	0.328071905113
liberté	0.596189775536	23	17	21	17	6.91816170794	7.12584393298	0.34753344871
à_savoir	0.379543718556	14	11	14	11	7.54619293056	7.7108064337	0.300404742741
fuite	0.264657693227	5	4	5	4	9.00562454919	9.19623326087	0.328071905113
abordent	-0.269943556246	5	3	5	3	9.42066204847	9.19623326087	0.0790494055453
avril	-0.00374086499447	10	7	10	7	8.19826962714	8.19623326087	0.168709100769
degrés	-1.33914605519	5	1	5	1	11.0056245492	9.19623326087	0.328071905113
nazisme	0.618891980748	3	3	3	3	9.42066204847	9.93319885504	0.05
rôles	0.946019083616	7	7	7	7	8.19826962714	8.7108064337	0.05
stéphanie	0.494044173656	7	6	7	6	8.42066204847	8.7108064337	0.458327221418
neuf	-1.33914605519	5	1	5	1	11.0056245492	9.19623326087	0.328071905113
voie	-0.364033689914	16	10	16	10	7.68369645431	7.51816135576	0.095565997075
montage	-0.0710396724386	3	2	3	2	10.0056245492	9.93319885504	0.131704165946
nullement	0.264657693227	5	4	5	4	9.00562454919	9.19623326087	0.328071905113
œuvres	-0.822769130012	28	16	28	16	7.00562454919	6.7108064337	0.0647718639657
natacha	-0.00374086499447	10	7	10	7	8.19826962714	8.19623326087	0.168709100769
guerrier	-0.0710396724386	3	2	3	2	10.0056245492	9.93319885504	0.131704165946
éditeur	-1.31939260532	9	3	9	3	9.42066204847	8.34823635431	0.131704165946
erreur	0.714756885942	4	4	4	4	9.00562454919	9.51816135576	0.05
voix	-0.257058435076	8	5	8	5	8.68369645431	8.51816135576	0.095565997075
devaient	-0.0710396724386	3	2	3	2	10.0056245492	9.93319885504	0.131704165946
jacob	0.618891980748	3	3	3	3	9.42066204847	9.93319885504	0.05
étayée	-0.760971325625	3	1	3	1	11.0056245492	9.93319885504	0.131704165946
voit	0.33296410944	33	24	32	24	6.42066204847	6.51816135576	0.238721875541
voir	-1.24527696519	54	29	52	29	6.14764355407	5.81772163762	0.0596251635514
néo-libéral	0.618891980748	3	3	3	3	9.42066204847	9.93319885504	0.05
